,canonicalUrl,push_tag,commentId,commentContent,commentTime
11,https://www.ptt.cc/bbs/Beauty/M.1583512320.A.77D.html,推,chewthelife8,第二張那個溝太猛,42.73.160.193 03/07 02:28
12,https://www.ptt.cc/bbs/Beauty/M.1583512320.A.77D.html,推,ssjci3c23,二樓掰,101.136.30.6 03/07 02:38
13,https://www.ptt.cc/bbs/Beauty/M.1583512320.A.77D.html,推,NX9999,ttb可憐吶,182.155.145.31 03/07 03:37
14,https://www.ptt.cc/bbs/Beauty/M.1583512320.A.77D.html,推,super830827,二樓一定被水桶 我就被版主退文惹,180.217.181.11 03/07 04:16
15,https://www.ptt.cc/bbs/Beauty/M.1583512320.A.77D.html,噓,bybyf,下巴可以插死人了,39.10.5.162 03/07 07:18
16,https://www.ptt.cc/bbs/Beauty/M.1583512320.A.77D.html,推,mimiring,原來是地震素顏主播 很正欸,42.73.134.18 03/07 07:55
0,https://www.ptt.cc/bbs/Beauty/M.1583516999.A.942.html,推,HunsKing,推,111.82.80.197 03/07 01:52
1,https://www.ptt.cc/bbs/Beauty/M.1583516999.A.942.html,推,kevinacc084,都要,42.73.231.254 03/07 02:06
2,https://www.ptt.cc/bbs/Beauty/M.1583516999.A.942.html,推,demon159000,腿腿腿腿啊啊啊啊,111.83.205.188 03/07 03:01
3,https://www.ptt.cc/bbs/Beauty/M.1583516999.A.942.html,推,palapalanhu,男的？,36.224.51.241 03/07 03:19
4,https://www.ptt.cc/bbs/Beauty/M.1583516999.A.942.html,推,stevejack,門,27.242.234.159 03/07 03:21
5,https://www.ptt.cc/bbs/Beauty/M.1583516999.A.942.html,推,SKY760508,這麼可愛一定是…,223.139.240.207 03/07 03:53
6,https://www.ptt.cc/bbs/Beauty/M.1583516999.A.942.html,推,andy70612,祖平  所以是...,1.175.183.239 03/07 07:14
0,https://www.ptt.cc/bbs/Beauty/M.1583525267.A.4B7.html,推,DH0617,尻 雖然能代指屁股,180.217.150.66 03/07 05:41
1,https://www.ptt.cc/bbs/Beauty/M.1583525267.A.4B7.html,→,DH0617,但是我國中同學常常用尻來代表他看a片的,180.217.150.66 03/07 05:41
2,https://www.ptt.cc/bbs/Beauty/M.1583525267.A.4B7.html,→,DH0617,動作,180.217.150.66 03/07 05:41
3,https://www.ptt.cc/bbs/Beauty/M.1583525267.A.4B7.html,→,DH0617,他也常常用尻特 來簡稱 **特爽,180.217.150.66 03/07 05:41
4,https://www.ptt.cc/bbs/Beauty/M.1583525267.A.4B7.html,→,DH0617,抱歉 我實在想不出這標題 尻 與 尻特 不,180.217.150.66 03/07 05:41
5,https://www.ptt.cc/bbs/Beauty/M.1583525267.A.4B7.html,→,DH0617,是意淫的理由,180.217.150.66 03/07 05:41
6,https://www.ptt.cc/bbs/Beauty/M.1583525267.A.4B7.html,推,calvin00300,好的，那麼請等候版皇以個人或者他同,101.12.22.46 03/07 06:14
7,https://www.ptt.cc/bbs/Beauty/M.1583525267.A.4B7.html,→,calvin00300,學想法水桶你,101.12.22.46 03/07 06:14
8,https://www.ptt.cc/bbs/Beauty/M.1583525267.A.4B7.html,→,hornybaron,有些事 可以做 不能講 ˋ,117.19.226.140 03/07 06:55
9,https://www.ptt.cc/bbs/Beauty/M.1583525267.A.4B7.html,推,tor211231,版皇說你意淫就意淫,49.216.100.25 03/07 07:42
0,https://www.ptt.cc/bbs/Beauty/M.1583538923.A.320.html,噓,soulknight,你以為玩股票？,42.73.142.107 03/07 08:00
0,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,推,Boss741108,[優文] JSJ 肚皮舞.gif,58.115.99.169 05/21 13:31
1,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,Boss741108,[優文] sana女生斜背太犯規,58.115.99.169 05/21 13:31
2,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,Boss741108,[優文] momo 斜背太犯規 (圖多)[優文],58.115.99.169 05/21 13:31
3,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,Boss741108,水卜櫻 (水卜さくら),58.115.99.169 05/21 13:32
4,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,Boss741108,[優文] 房東的貓主唱 小黑 王心怡,58.115.99.169 05/21 13:32
5,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,Boss741108,[優文] 童顏巨乳,58.115.99.169 05/21 13:32
6,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,Boss741108,[優文] 神之乳 RION,58.115.99.169 05/21 13:32
7,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,Boss741108,[優文] 左還是右？,58.115.99.169 05/21 13:42
8,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,Boss741108,[優文] 不讓你睡 週日凌晨提提神,58.115.99.169 05/21 13:42
9,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,推,hdotistyle,[優文] 短髮　池田エライザ,180.217.251.80 05/21 20:29
10,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,kuro,[檢舉] hyakkiyagyo 板規四,36.227.117.189 05/22 17:51
11,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,kuro,[檢舉]  #1SvEBosM  hyakkiyagyo 板規四,36.227.117.189 05/22 17:51
12,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,推,saw6904,[檢舉] j65ms22  #1SvHEJjZ  隨意貼一個不,111.71.93.118 05/22 22:12
13,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,saw6904,像高嘉瑜的女生，並且在第二張圖片是以,111.71.93.118 05/22 22:12
14,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,saw6904,〝一國兩制統一中國〞為背景的圖片，違,111.71.93.118 05/22 22:12
15,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,saw6904,反細則 7 之 (2),111.71.93.118 05/22 22:12
16,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,噓,xinyi101,[檢舉] hateOnas 濫用板規 你說標題違,1.34.165.246 05/23 00:45
17,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,xinyi101,反板規，你的理由在哪?看不順眼就退文，,1.34.165.246 05/23 00:45
18,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,xinyi101,你和前任有何差異?,1.34.165.246 05/23 00:45
19,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,噓,xinyi101,forthelife到現在沒看過你管板，也沒制,1.34.165.246 05/23 00:48
20,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,xinyi101,定新板規，選你上來是讓hateOnas一人獨,1.34.165.246 05/23 00:48
21,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,xinyi101,裁嗎?什麼選出第三位板主云云都是放屁。,1.34.165.246 05/23 00:48
22,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,as314,cckcc 文章內連結出去都是廣告耶,49.216.5.50 05/23 01:23
23,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,推,haydou,對欸，f版主好像到目前為止都只有推文而已,49.214.147.34 05/23 13:00
24,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,haydou,，兩個風格不太一樣的版主希望可以互相制,49.214.147.34 05/23 13:00
25,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,haydou,衡...,49.214.147.34 05/23 13:00
26,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,推,lazyfrog,「檢舉」 #1SuLKQv_  政治文 要執法就公平,125.224.64.120 05/23 17:19
27,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,lazyfrog,點 不要告訴我國外的不算政治,125.224.64.120 05/23 17:19
28,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,推,Forthelife,呃呃基本上我算是處理申訴吧？,49.216.163.34 05/23 19:40
29,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,hateOnas,沒有吧 都要處理吧,118.166.245.168 05/23 19:51
30,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,Secret69,0.0,27.52.109.161 05/23 20:19
31,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,噓,xyzboom,平時一堆洋人都能PO 結果政治文只限台灣?,220.142.137.113 05/23 23:27
32,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,噓,xinyi101,forthelife 你倒好，只處理申訴，不用,1.34.165.246 05/24 04:31
33,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,xinyi101,管板制衡另一個，選你有何用?說好的新板,1.34.165.246 05/24 04:31
34,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,xinyi101,規呢?無能就讓位給有能的人。,1.34.165.246 05/24 04:31
35,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,噓,xinyi101,hateOnas 多少人了你才願意說明，混也,1.34.165.246 05/24 04:35
36,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,xinyi101,不是這樣混的。「泰式奶特」犯了哪條板,1.34.165.246 05/24 04:35
37,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,xinyi101,規你指出來給我看看。,1.34.165.246 05/24 04:35
38,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,推,xyzboom,照你邏輯，奶特只承認台灣奶特 泰式奶特,220.138.154.66 05/24 11:56
39,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,xyzboom,怎麼有問題？,220.138.154.66 05/24 11:56
40,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,xyzboom,新板規是之後的事，現在該處理就處理 哪,220.138.154.66 05/24 11:57
41,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,xyzboom,有這樣選擇性解釋的,220.138.154.66 05/24 11:57
42,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,噓,lazyfrog,外國政治，你說你的認知只算臺灣的；泰,125.224.64.120 05/24 14:42
43,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,lazyfrog,國奶特，國外的又算奶特。沒人這樣玩的,125.224.64.120 05/24 14:42
44,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,lazyfrog,啦！板規不是用你認知來衡量，是就一律,125.224.64.120 05/24 14:42
45,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,lazyfrog,都是。不是就全部都不是！不然全部都給,125.224.64.120 05/24 14:42
46,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,lazyfrog,你玩就好了！,125.224.64.120 05/24 14:42
47,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,噓,xyzboom,又扯到投票權，再照這種邏輯，表特板大部,220.142.124.185 05/24 18:37
48,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,xyzboom,分人都沒有嘉瑜黃捷選區的投票權好嗎？,220.142.124.185 05/24 18:37
49,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,xyzboom,板規就寫政治文，硬要加上沒什麼說服的解,220.142.124.185 05/24 18:38
50,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,xyzboom,釋zz,220.142.124.185 05/24 18:38
51,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,噓,lazyfrog,不用跟我抱歉，你對得起選你的表特鄉民,111.82.102.189 05/24 20:07
52,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,lazyfrog,就好。你後來判的退文政治文，我非常認,111.82.102.189 05/24 20:07
53,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,lazyfrog,同。但是全世界的奶特都算奶特，全世界,111.82.102.189 05/24 20:07
54,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,lazyfrog,的政治只有台灣才算。根本狗屁不通，亂,111.82.102.189 05/24 20:07
55,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,lazyfrog,扯一堆！甚至扯到你後來說的沒有選舉權,111.82.102.189 05/24 20:07
56,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,lazyfrog,。,111.82.102.189 05/24 20:07
57,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,噓,xinyi101,HateOnas 我懷疑你未熟讀板規不然就是私,1.34.165.246 05/24 21:07
58,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,xinyi101,心偏坦。板規:不當標題：過於強調身體,1.34.165.246 05/24 21:07
59,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,xinyi101,部位局部特寫，如 奶特、屌特、尻特。板,1.34.165.246 05/24 21:07
60,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,xinyi101,規是舉例你拿來當明文規定，我因此懷疑,1.34.165.246 05/24 21:07
61,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,xinyi101,你未熟讀板規，要是按同樣標準，我請問,1.34.165.246 05/24 21:07
62,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,xinyi101,你板上那麼多明示暗示身體局部特寫的你,1.34.165.246 05/24 21:07
63,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,xinyi101,怎不退文水桶，你是不是兩套標準?你看,1.34.165.246 05/24 21:07
64,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,xinyi101,不順眼才水桶人，對不對?你是不是想把,1.34.165.246 05/24 21:07
65,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,xinyi101,表特滅板? 而你又何德何能可以替forthel,1.34.165.246 05/24 21:07
66,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,xinyi101,ife 板主發言，你們二人對表特板有破壞,1.34.165.246 05/24 21:08
67,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,xinyi101,無建設，你們怎對的起投你們票的人?,1.34.165.246 05/24 21:08
68,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,推,Forthelife,別真的生氣啦，基本上目前我們的確在,49.216.163.34 05/25 18:35
69,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,推,Forthelife,對不當標題私信討論，因為真要管的確,49.216.163.34 05/25 18:35
70,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,推,Forthelife,會有很多標題有爭議，所以我們還在找,49.216.163.34 05/25 18:35
71,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,推,Forthelife,一個妥協點,49.216.163.34 05/25 18:35
72,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,推,Forthelife,關於政治文是為了防止政治人物利用該,49.216.163.34 05/25 18:36
73,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,推,Forthelife,板衝人氣或是維持形象，不論結果好壞,49.216.163.34 05/25 18:36
74,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,推,Forthelife,都不應該出現在表特，所以特別針對本,49.216.163.34 05/25 18:36
75,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,推,Forthelife,國政治人物,49.216.163.34 05/25 18:36
76,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,推,Forthelife,而政治人物基本上只要有意參選，在民,49.216.163.34 05/25 18:37
77,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,推,Forthelife,調統計內就算是了，這點在往後該板規,49.216.163.34 05/25 18:37
78,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,推,Forthelife,也會詳加說明及更改，還請您諒解,49.216.163.34 05/25 18:37
79,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,推,xinyi101,希望能盡速訂出新板規。,1.34.165.246 05/25 20:22
80,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,kuro,請問 F 板主，本人上面的檢舉是未達還是未處,118.168.36.183 05/25 21:10
81,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,kuro,理？謝謝,118.168.36.183 05/25 21:11
82,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,推,Forthelife,抱歉！沒看到！已處理,49.216.163.34 05/25 23:20
83,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,推,saw6904,[檢舉]  #1SwKMzo3  leolcw 無臉文,223.137.132.156 05/26 00:27
84,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,推,yaes111,[檢舉]  #1SwCsBns  衝人氣文嫌疑 這個是殺,223.140.210.218 05/26 07:47
85,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,yaes111,人犯內==,223.140.210.218 05/26 07:47
86,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,推,diubrother,殺人犯跟表特沒衝突吧？,140.123.124.245 05/28 14:46
87,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,推,karta328,板主 HYUNABLUE這個人一直宣傳非文章本,27.242.2.231 05/29 19:26
88,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,karta328,人的IG 有辦法桶他嗎,27.242.2.231 05/29 19:26
89,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,推,joeliu1015,推樓上，版規八不知道適不適用推文,114.136.161.183 05/30 10:19
90,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,推,OGCOGCOGCOGC,#1SytfZ9U  hotcore 板規十,111.83.178.35 06/02 19:36
91,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,OGCOGCOGCOGC,KHS判例: #1SZ7CSh5 (Beauty),111.83.178.35 06/02 19:36
92,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,Forthelife,在判例中「不知道KHS多少？ 想消費了,101.12.18.44 06/03 12:55
93,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,Forthelife,」其中「想消費」一詞依照前後語句能,101.12.18.44 06/03 12:55
94,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,Forthelife,認為是與想與之交媾，符合板規十意淫,101.12.18.44 06/03 12:55
95,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,Forthelife,條規,101.12.18.44 06/03 12:55
96,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,推,OGCOGCOGCOGC,那hotcore無違規囉?,111.83.178.35 06/03 13:00
97,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,Forthelife,所謂KHS去查網路上了一下即是從事性交,101.12.18.44 06/03 13:07
98,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,Forthelife,易業者用的術語之一，但詢問女性是否,101.12.18.44 06/03 13:07
99,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,Forthelife,為性交意者是否算是歧視？這點我感到,101.12.18.44 06/03 13:07
100,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,Forthelife,疑惑,101.12.18.44 06/03 13:07
101,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,Forthelife,如果當事人來信感到不悅自然是能懲處,101.12.18.44 06/03 13:09
102,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,Forthelife,，其實不當標題也是避免當事人感到不,101.12.18.44 06/03 13:09
103,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,Forthelife,舒服而設立，所以在處理上每個人見解,101.12.18.44 06/03 13:09
104,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,Forthelife,，看法不同的確會造成諸多摩擦,101.12.18.44 06/03 13:09
105,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,推,polyman73,有人擺明要害上凱道那二位女生的文章，,114.40.36.144 06/04 05:18
106,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,polyman73,怎麼一直出現，希望趕快把它刪掉,114.40.36.144 06/04 05:18
107,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,推,lazyfrog,檢舉 臺灣政治文  #1SzNuxn-,223.141.9.76 06/04 11:54
108,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,推,lazyfrog,7.政治文：,223.141.9.76 06/04 12:11
109,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,lazyfrog,,223.141.9.76 06/04 12:11
110,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,lazyfrog,,223.141.9.76 06/04 12:11
111,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,lazyfrog,(1) 為避免炒作嫌疑，禁止張貼台灣政治,223.141.9.76 06/04 12:11
112,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,lazyfrog,人物（包含眷屬、幕僚）相關文章，,223.141.9.76 06/04 12:11
113,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,lazyfrog,,223.141.9.76 06/04 12:11
114,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,lazyfrog,多次利用神人記者而張貼政治人物新聞也,223.141.9.76 06/04 12:11
115,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,lazyfrog,算，會由板主討論後評斷,223.141.9.76 06/04 12:11
116,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,Forthelife,我是打多次利用喔，關於用戶發新聞神,101.12.18.44 06/04 12:55
117,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,Forthelife,人會做一個簡單的紀錄,101.12.18.44 06/04 12:55
118,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,Forthelife,在一定的時間內頻繁利用政治新聞神人,101.12.18.44 06/04 12:57
119,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,Forthelife,才有嫌疑,101.12.18.44 06/04 12:57
120,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,推,saw6904,[檢舉] BekuH  #1SzXE6ZV  無臉文，且圖片,223.140.152.248 06/04 15:30
121,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,saw6904,強調女性下體位置與乳房，觀感上感到猥,223.140.152.248 06/04 15:31
122,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,saw6904,褻,223.140.152.248 06/04 15:31
123,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,推,tackcalb,#1SzddNnH  意淫文字,1.200.35.160 06/04 22:19
124,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,kuro,[檢舉]  #1T0HW3kY  心得文,118.168.32.178 06/12 23:51
125,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,kuro,[檢舉]  #1T0nJly1  神人文無清楚可辨識之臉部,118.168.34.5 06/14 13:54
126,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,kuro,連結,118.168.34.5 06/14 13:54
127,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,kuro,[檢舉]  #1T0oDPwR  板規13,118.168.34.5 06/14 13:59
128,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,kuro,[檢舉]  #1T0qNGBG  板規13,118.168.34.5 06/14 15:53
129,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,hateOnas,1T0HW3kY 已補圖,220.133.245.111 06/15 01:05
130,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,hateOnas,#1T0nJly1  個人認為PASS,220.133.245.111 06/15 01:06
131,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,推,OGCOGCOGCOGC,#1T3tq95m  板規十六,223.141.239.253 06/23 23:56
132,https://www.ptt.cc/bbs/Beauty/M.1558415952.A.8D7.html,→,hateOnas,done,118.166.238.45 06/24 13:45
